ID,sector,diversity_2012,diversity_2013,diversity_2014,diversity_2015
3605,meat,0.7511769547522437,0.7414775123190949,0.7550089928855731,0.7455040577012877
3607,animal,0.5254702479650515,0.5254673562063378,0.5263508256903999,0.5268719760446591
3607,crop,0.5258467898193929,0.5258584732194194,0.5243474499508785,0.5233836848825262
3607,feed,0.6988626393917393,0.6963238347221993,0.698832040920538,0.7018617720961055
3607,meat,0.7334482216921541,0.7489008749429086,0.7522925061806643,0.752302726089355
3608,animal,0.4542933867710972,0.4528283258389458,0.4495289326093789,0.4481448414388133
3608,crop,0.370053467832442,0.3682683881515307,0.3660181568263896,0.3649256434776248
3608,feed,0.5446809348992504,0.538705004136247,0.5418288914416353,0.5396940497630055
3608,meat,0.7020790643870567,0.6993635985137857,0.7027895854278965,0.7003579710712644
3609,animal,0.4880876222812777,0.4874565611497218,0.4848765158253876,0.4835841579041912
3609,crop,0.3844557090977346,0.3832392466064018,0.3823546533198773,0.3813231750544444
3609,feed,0.5816875091648835,0.5801699097549256,0.5794868557847137,0.5785119279795791
3609,meat,0.6832006509932088,0.6819698801977191,0.6731268785446597,0.6780049373329475
3610,animal,0.4803486118042668,0.4793353871004551,0.4757643581308685,0.4738065416352402
3610,crop,0.3313132133711891,0.3298438316932877,0.3274664026834179,0.32592389840729546
3610,feed,0.5596241038534886,0.5437864406233329,0.5498266578497171,0.5482714815306966
3610,meat,0.7405822235527031,0.7346896684226331,0.7392517170126554,0.7349847364989129
3699,animal,0.5449496356862936,0.5433281197673016,0.5389951620199028,0.5370251265244512
3699,crop,0.4091867766014621,0.40801355031912656,0.4058385892556941,0.4043312447385885
3699,feed,0.6652117569448084,0.6507054724939648,0.6520434053353907,0.6548805998986756
3699,meat,0.8439236120922721,0.8363089515724429,0.8306035721619035,0.8420070018198762
3701,animal,0.5533207468337719,0.5488428676399262,0.5512348468488103,0.552001510711766
3701,crop,0.6485288843903529,0.6414917593228799,0.6422088189817774,0.6414389134554245
3701,feed,0.6571782756512523,0.6348966899932765,0.6355946552995861,0.6374997013025578
3701,meat,0.662415936789839,0.6566456410780664,0.6664920010832216,0.6664270340620498
3703,animal,0.5616608442138106,0.5589986086075301,0.5613235785280692,0.5622235932348155
3703,crop,0.6614876115377221,0.6566784041618338,0.6589394288354526,0.6583013835168793
3703,feed,0.6986582097031023,0.6866298299422567,0.6879123247648407,0.6902623093919305
3703,meat,0.6591322851595683,0.6502255889623293,0.6595336091079295,0.6615523785400101
3704,animal,0.4970922028610614,0.494683281007254,0.4976772690163989,0.4987970943101365
3704,crop,0.6369607443456075,0.6320714672820753,0.6367195078990204,0.6362276634259012
3704,feed,0.7053946908328566,0.6926931501250976,0.6921594574763565,0.692869245660569
3704,meat,0.631565099189229,0.6122520276738694,0.6311800012139688,0.634279620595626
3705,animal,0.5371609540026041,0.5342203722699165,0.5380743038570377,0.5398357432178279
3705,crop,0.6513454420339195,0.6485066696897076,0.6556429841790813,0.6560556400181089
3705,feed,0.7114724319801555,0.6951376675356554,0.6909168551028313,0.7019503409100442
3705,meat,0.8505501825390384,0.8268111996625884,0.8516887852301663,0.8564134878763615
3706,animal,0.6019840329721571,0.6037257027919091,0.6064575548944018,0.6078625107616649
3706,crop,0.7389059116046801,0.7357565526582881,0.7343440907540274,0.7341398322671931
3706,feed,0.7779381410030186,0.7637011570776864,0.7643125366089385,0.7655202636541322
3706,meat,0.7609782672595166,0.7543561276342241,0.7671540360022399,0.7647192609095496
3707,animal,0.5859618447955598,0.5792699364770464,0.5822373146480472,0.5829235820516421
3707,crop,0.6649174951079649,0.6587843195073351,0.6607687450649947,0.6603020137907215
3707,meat,0.6614585395463912,0.6545608137867361,0.6616865152393283,0.6645631538323991
3708,animal,0.5711731189754492,0.5643743948109358,0.5668340303531229,0.5671724634758322
3708,crop,0.6109521507668683,0.6090009425903177,0.6116102967930971,0.6116139486548678
3708,meat,0.7114801582557909,0.7028443294207634,0.7170607036842838,0.7147489547037721
3709,animal,0.3883392062627559,0.3885017301478416,0.388850944808625,0.3890191739650692
3709,crop,0.7437190692978066,0.7463423756811821,0.7479757047010853,0.7489472819370409
3709,meat,0.8029764554885129,0.7844601379752892,0.8044336884554895,0.8081897127751567
3710,animal,0.4923263065120883,0.489846101392721,0.4928723728404144,0.494002654821642
3710,crop,0.6368903549714178,0.6320031351840756,0.6366501646179913,0.6361587264075541
3710,meat,0.6273686579097446,0.6077368823273789,0.6269893580373698,0.6301844081752564
3711,animal,0.631781047546329,0.6322501323181002,0.6334459168080385,0.6352247649800469
3711,crop,0.6490275696178582,0.6473696348340973,0.6460874630222673,0.6477454819731642
3711,feed,0.7749789751144165,0.7646975682606562,0.8025067780259295,0.7728448663700285
3711,meat,0.7706416010143002,0.7485132059785167,0.7892585263995254,0.7934623630928953
3712,animal,0.618400822771766,0.6174963658759615,0.6200987332929196,0.621184458747031
3712,crop,0.7568092524147061,0.7541891405001395,0.7527309034514912,0.7526424405636056
3712,feed,0.7779139175763767,0.7713340427019963,0.7716088452964726,0.7725090974053984
3712,meat,0.7991376908559836,0.7928063801539944,0.8052632609980467,0.8034123736067323
3713,animal,0.5824610521838411,0.5779140996564529,0.5804785204317249,0.5822336792722482
3713,crop,0.7730165898560546,0.7665104794232738,0.7613789293790784,0.7677471201755772
3713,feed,0.4232906130765273,0.4212088399409081,0.41534058220658,0.4373516567069918
3713,meat,0.7337541316939737,0.7313643616001783,0.7782218667534591,0.731791361291625
3714,crop,0.6940796902555334,0.6897683011197189,0.6924670754256762,0.6919272494135374
3714,feed,0.7090310896513359,0.6983481642079992,0.6994686645619026,0.7016533484565293
3714,meat,0.6977572513203105,0.6928369020868858,0.6968826092936904,0.7004800954485068
3799,animal,0.6115443246196604,0.6077577830490045,0.5775917033280349,0.6106405196581373
3799,crop,0.7691775350952346,0.7637472967751417,0.7761788059521445,0.7655045908442316
3799,feed,0.7694418184436487,0.7570777591434871,0.7463055480266492,0.7617968677317584
3799,meat,0.7747411079576971,0.7759643888449013,0.7642022218930932,0.7819597044235701
3801,animal,0.4029172549117117,0.38411262884142416,0.3751758888443874,0.3764238645770367
3801,crop,0.2857179656652744,0.2736796081667732,0.26622022722804123,0.2685352805087332
3801,feed,0.3768904723059821,0.3870382038197043,0.3884766626645877,0.38325038340099854
